time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0.0,-0.9854008555412292,3.3635056018829346,6.0025177001953125,2.1572799682617188,0.8196381330490112,-1.5977094173431396,2.79998779296875,-25.555908203125,-17.61639404296875
0.010040282999398187,-0.5266048908233643,2.129471778869629,8.9717435836792,0.038370292633771896,-0.31442612409591675,-1.4314371347427368,2.79998779296875,-25.555908203125,-17.61639404296875
0.020019530999888957,-0.6236032247543335,2.089804172515869,8.962312698364258,0.08633355796337128,-0.07141213119029999,-0.36452096700668335,2.79998779296875,-25.555908203125,-17.61639404296875
0.030212401999961003,-0.720601499080658,2.053579568862915,8.910221099853516,0.07034553587436676,-0.031975775957107544,-0.02558046206831932,2.5999908447265625,-25.65496826171875,-18.395034790039062
0.04019164999954228,-0.33605116605758667,1.9422111511230469,9.082063674926758,0.06395075470209122,-0.0021321268286556005,-0.0010663296561688185,2.5999908447265625,-25.65496826171875,-18.395034790039062
0.050201415999254095,-0.4944218397140503,1.8037490844726562,9.02757740020752,0.05222618579864502,0.0021315941121429205,0.0,2.5999908447265625,-25.65496826171875,-18.395034790039062
0.060180663999744866,-0.5878276228904724,2.109114170074463,9.313033103942871,0.030909446999430656,-0.004263720940798521,0.004263188224285841,2.5999908447265625,-25.258758544921875,-18.103042602539062
0.07015991199932614,-0.38559815287590027,1.9296373128890991,9.079070091247559,0.013855627737939358,-0.0021321268286556005,0.0031973912846297026,2.5999908447265625,-25.258758544921875,-18.103042602539062
0.08016967799994745,-0.37212616205215454,1.9172130823135376,9.326355934143066,0.0074605792760849,-0.017053818330168724,0.004263188224285841,2.5999908447265625,-25.258758544921875,-18.103042602539062
0.09014892599952873,-0.39727386832237244,1.742376685142517,9.180708885192871,0.017053019255399704,-0.042634278535842896,0.008526376448571682,2.5,-25.159698486328125,-17.90838623046875
0.10012817299957533,-0.46074187755584717,1.9214043617248535,9.315877914428711,0.035172633826732635,-0.05862203612923622,0.005328985396772623,2.5,-25.159698486328125,-17.90838623046875
0.11010742199960077,-0.3195854127407074,1.9404149055480957,9.104966163635254,0.06181889399886131,-0.0522267185151577,0.0,2.5,-25.159698486328125,-17.90838623046875
0.12011718699977791,-0.4334985315799713,2.0187020301818848,9.222023010253906,0.06608235090970993,-0.06501735001802444,0.004263188224285841,2.79998779296875,-25.456863403320312,-17.90838623046875
0.1300964349993592,-0.22812561690807343,1.820214867591858,8.9608154296875,0.053291983902454376,-0.06501735001802444,0.013855627737939358,2.79998779296875,-25.456863403320312,-17.90838623046875
0.14007568299984996,-0.43574386835098267,1.8389259576797485,8.972491264343262,0.04369927942752838,-0.0447661392390728,0.01278983149677515,2.79998779296875,-25.456863403320312,-17.90838623046875
0.15008544899956178,-0.42167311906814575,2.1430933475494385,9.073980331420898,0.03410683944821358,-0.026646258309483528,0.013855627737939358,2.79998779296875,-25.555908203125,-18.978988647460938
0.16006469699914305,-0.39742356538772583,1.9505937099456787,9.02069091796875,0.024514131247997284,-0.035173166543245316,0.02238253690302372,2.79998779296875,-25.555908203125,-18.978988647460938
0.17007446299976436,-0.249980166554451,1.9073337316513062,9.07203483581543,0.02238253690302372,-0.04156848415732384,0.027712054550647736,2.79998779296875,-25.555908203125,-18.978988647460938
0.1800231929992151,-0.5334905982017517,1.8881735801696777,9.179810523986816,0.02557992935180664,-0.045831937342882156,0.028777852654457092,3.0,-25.258758544921875,-17.811050415039062
0.1900329589998364,-0.4993615746498108,1.9410136938095093,9.04928207397461,0.02557992935180664,-0.0447661392390728,0.0298436488956213,3.0,-25.258758544921875,-17.811050415039062
0.20004272400001355,-0.26120680570602417,2.0209474563598633,8.819659233093262,0.024514131247997284,-0.0330415740609169,0.030909446999430656,3.0,-25.258758544921875,-17.811050415039062
0.21005248999972537,-0.3899391293525696,1.8181191682815552,9.021888732910156,0.01278983149677515,-0.04050268605351448,0.031975243240594864,2.6999969482421875,-25.159698486328125,-18.395034790039062
0.22000122099962027,-0.2992277443408966,2.077679395675659,9.031169891357422,-0.005329518113285303,-0.035173166543245316,0.03304104134440422,2.6999969482421875,-25.159698486328125,-18.395034790039062
0.22998046899920155,-0.3336561620235443,2.1411473751068115,9.128467559814453,-0.01811988092958927,-0.030909979715943336,0.031975243240594864,2.6999969482421875,-25.159698486328125,-18.395034790039062
0.23995971599924815,-0.3245251476764679,2.0966899394989014,9.107061386108398,-0.015988022089004517,-0.03410737216472626,0.027712054550647736,2.29998779296875,-25.555908203125,-18.005706787109375
0.24996948299940414,-0.4595443606376648,1.8775455951690674,9.305997848510742,0.0010657970560714602,-0.03730529546737671,0.027712054550647736,2.29998779296875,-25.555908203125,-18.005706787109375
0.25994872999945073,-0.41628432273864746,1.7836908102035522,9.024882316589355,0.01492142491042614,-0.03730529546737671,0.028777852654457092,2.29998779296875,-25.555908203125,-18.005706787109375
0.26995849599916255,-0.4079017639160156,1.7835410833358765,9.280850410461426,0.027712054550647736,-0.031975775957107544,0.02557992935180664,2.5,-25.456863403320312,-17.713729858398438
0.2799377439996533,-0.3580554127693176,2.039508819580078,9.114097595214844,0.028777852654457092,-0.02558046206831932,0.024514131247997284,2.5,-25.456863403320312,-17.713729858398438
0.2899169919992346,-0.3879931569099426,1.782493233680725,9.10212230682373,0.01278983149677515,-0.031975775957107544,0.030909446999430656,2.5,-25.65496826171875,-17.713729858398438
0.2999267579998559,-0.4087998867034912,1.9275416135787964,9.045689582824707,-0.0010663296561688185,-0.030909979715943336,0.031975243240594864,2.5,-25.65496826171875,-17.713729858398438
